"","X2008.Jan","X2008.Fev","X2008.Mar","X2008.Abr","X2008.Mai","X2008.Jun","X2008.Jul","X2008.Ago","X2008.Set","X2008.Out","X2008.Nov","X2008.Dez","X2009.Jan","X2009.Fev","X2009.Mar","X2009.Abr","X2009.Mai","X2009.Jun","X2009.Jul","X2009.Ago","X2009.Set","X2009.Out","X2009.Nov","X2009.Dez","X2010.Jan","X2010.Fev","X2010.Mar","X2010.Abr","X2010.Mai","X2010.Jun","X2010.Jul","X2010.Ago","X2010.Set","X2010.Out","X2010.Nov","X2010.Dez","X2011.Jan","X2011.Fev","X2011.Mar","X2011.Abr","X2011.Mai","X2011.Jun","X2011.Jul","X2011.Ago","X2011.Set","X2011.Out","X2011.Nov","X2011.Dez","X2012.Jan","X2012.Fev","X2012.Mar","X2012.Abr","X2012.Mai","X2012.Jun","X2012.Jul","X2012.Ago","X2012.Set","X2012.Out","X2012.Nov","X2012.Dez","X2013.Jan","X2013.Fev","X2013.Mar","X2013.Abr","X2013.Mai","X2013.Jun","X2013.Jul","X2013.Ago","X2013.Set","X2013.Out","X2013.Nov","X2013.Dez","X2014.Jan","X2014.Fev","X2014.Mar","X2014.Abr","X2014.Mai","X2014.Jun","X2014.Jul","X2014.Ago","X2014.Set","X2014.Out","X2014.Nov","X2014.Dez","X2015.Jan","X2015.Fev","X2015.Mar","X2015.Abr","X2015.Mai","X2015.Jun","X2015.Jul","X2015.Ago","X2015.Set","X2015.Out","X2015.Nov","X2015.Dez","X2016.Jan","X2016.Fev","X2016.Mar","X2016.Abr","X2016.Mai","X2016.Jun","X2016.Jul","X2016.Ago","X2016.Set","X2016.Out","X2016.Nov","X2016.Dez","X2017.Jan","X2017.Fev","X2017.Mar","X2017.Abr","X2017.Mai","X2017.Jun","X2017.Jul","X2017.Ago","X2017.Set","X2017.Out","X2017.Nov","X2017.Dez","X2018.Jan","X2018.Fev","X2018.Mar","X2018.Abr","X2018.Mai","X2018.Jun","X2018.Jul","X2018.Ago","X2018.Set","X2018.Out","X2018.Nov","X2018.Dez","X2019.Jan","X2019.Fev","X2019.Mar","X2019.Abr","X2019.Mai","X2019.Jun","X2019.Jul","X2019.Ago","X2019.Set","X2019.Out","X2019.Nov","X2019.Dez","X2020.Jan","X2020.Fev","X2020.Mar","X2020.Abr","X2020.Mai","X2020.Jun","X2020.Jul","X2020.Ago","X2020.Set","X2020.Out","X2020.Nov","X2020.Dez"
"00 a 04 anos",248,261,455,591,550,338,327,371,432,595,468,418,265,202,336,417,364,371,413,394,332,324,365,214,218,215,256,271,348,333,397,459,811,932,730,460,214,133,162,227,231,179,256,343,403,544,518,446,248,126,113,152,157,181,222,292,521,587,495,363,157,102,132,155,217,364,333,308,535,705,623,542,295,108,85,122,145,208,191,191,289,374,305,297,156,64,97,119,96,108,127,143,191,195,153,134,79,76,88,76,84,94,126,135,152,193,151,146,105,72,90,77,90,87,110,134,132,151,138,104,67,58,94,79,93,84,96,82,80,92,77,79,73,54,133,162,102,70,79,59,49,63,63,48,48,62,44,17,15,14,17,18,18,26,17,24
"05 a 09 anos",47,43,85,74,87,56,55,58,84,108,98,80,50,44,56,68,67,72,88,93,86,63,89,52,64,43,60,47,66,57,77,90,142,176,135,121,60,28,34,38,42,51,65,75,123,136,105,121,60,30,34,27,46,34,49,50,89,131,92,75,50,33,26,33,56,69,69,64,140,169,126,110,83,40,41,40,58,43,49,55,76,124,88,81,55,19,33,14,42,36,58,50,65,83,60,39,38,31,30,24,33,25,60,63,84,114,85,75,47,26,31,37,32,39,40,69,83,102,90,55,42,27,24,24,31,19,41,36,34,36,39,38,34,26,37,27,18,31,20,37,38,27,28,26,21,25,19,5,8,13,6,7,14,17,10,11
"10 a 14 anos",23,22,28,27,37,29,26,27,39,37,31,30,21,18,35,28,27,43,32,69,34,42,29,26,29,20,29,27,22,24,40,40,47,54,54,45,26,20,31,20,22,30,36,54,53,61,47,43,45,22,25,21,23,27,24,29,45,40,40,33,35,22,28,25,18,28,29,30,53,55,57,37,47,26,27,31,37,18,22,31,44,45,42,40,23,18,15,15,19,17,20,27,34,36,30,21,16,17,15,18,11,24,24,19,26,41,34,29,29,14,18,21,21,21,27,32,30,50,49,26,30,22,16,15,23,26,30,22,23,29,32,17,27,22,20,23,26,28,25,30,39,35,26,10,23,18,15,10,8,6,11,17,21,10,11,14
"15 a 49 anos",138,213,191,192,208,147,140,150,207,165,134,159,134,145,169,196,193,186,277,285,204,173,170,170,124,151,144,139,130,113,122,181,153,174,181,162,138,129,112,115,124,119,114,105,129,103,126,123,137,100,140,101,89,96,97,95,121,142,115,86,117,87,112,98,131,153,141,142,124,154,132,102,104,87,91,92,113,101,121,91,127,112,107,107,100,82,89,87,86,99,104,98,106,103,89,104,95,66,82,96,101,84,84,89,84,116,96,93,114,98,122,75,94,102,99,100,103,112,95,113,138,91,113,90,117,87,108,87,106,102,92,96,85,88,90,73,99,94,116,112,111,104,119,94,111,94,96,69,60,67,73,69,68,65,52,58
"50 anos e mais",375,448,484,440,434,289,242,331,456,388,304,335,314,305,354,317,321,368,337,300,241,266,262,206,212,207,246,263,259,230,233,257,256,222,253,262,304,275,251,267,224,209,238,176,177,168,155,171,202,164,208,168,194,164,183,204,202,213,184,151,181,178,214,206,221,350,324,263,190,183,169,158,156,155,138,177,168,157,186,214,213,193,166,150,194,156,195,200,197,233,218,202,195,202,178,189,194,177,211,188,194,218,218,181,210,201,213,199,183,179,258,218,257,218,205,229,219,194,212,221,237,180,236,219,224,255,276,240,230,202,205,175,222,184,215,224,245,274,262,259,254,241,224,239,204,215,192,156,178,159,150,173,151,155,121,141
"Indicadora de vacina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Indicadora de vacina (com delay)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Indicadora de pandemia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1
